,Address,balcony,bathroom,car parking,carpet area,facing,floor,furnishing,overlooking,ownership,price,society,status,super area,transaction
0,2 BHK Apartmentfor Sale inNB PearlSinhagad Road( 4 km from Warje),1,2,1 Covered,816 sqft,East,11 out of 11 floors,Unfurnished,"Garden/Park, Main Road",Co-operative Society,₹69Lac,NB Pearl,,,New Property
1,2 BHK Apartmentfor Sale inMeghvarshaWarje,1,2,,,East,5 out of 9 floors,Semi-Furnished,Garden/Park,Co-operative Society,₹81Lac,Meghvarsha,Ready to Move,1083 sqft,Resale
2,2 BHK Apartmentfor Sale inWarje,1,1,1 Covered,550 sqft,East,4 out of 12 floors,Unfurnished,"Garden/Park, Main Road",Freehold,₹43Lac,,Possession by Jun '19,,New Property
3,2 BHK Apartmentfor Sale inAditya Garden City Warje,2,3,1 Covered,772 sqft,East,4 out of 5 floors,Unfurnished,"Garden/Park, Main Road",Co-operative Society,₹75Lac,,Possession by Mar '20,,New Property
4,2 BHK Apartmentfor Sale inAditya Garden FloraaWarje,2,2,1 Covered,683 sqft,East,11 out of 11 floors,Unfurnished,Main Road,Co-operative Society,₹75Lac,Aditya Garden Floraa,Ready to Move,,Resale
5,2 BHK Apartmentfor Sale inSuvan ForettWarje,2,2,,880 sqft,East,6 out of 10 floors,Unfurnished,Garden/Park,Freehold,₹76Lac,Suvan Forett,Possession by Dec '19,,New Property
6,2 BHK Apartmentfor Sale inWarje,2,2,"1 Covered, 1 Open",600 sqft,East,3 out of 12 floors,Unfurnished,"Garden/Park, Main Road",Freehold,₹64.3Lac,,Possession by Dec '19,,New Property
7,3 BHK Apartmentfor Sale inCavansiteWarje,1,2,1 Covered,,East,9 out of 12 floors,Semi-Furnished,Garden/Park,Co-operative Society,₹79Lac,Cavansite,Possession by Jun '19,1280 sqft,New Property
8,1 BHK Apartmentfor Sale inWarje,1,1,1 Covered,500 sqft,East,4 out of 7 floors,Unfurnished,"Garden/Park, Main Road",Co-operative Society,₹25Lac,,Ready to Move,,Resale
9,2 BHK Apartmentfor Sale inKaran PalmsWarje,1,2,1 Covered,1132 sqft,East,1 out of 7 floors,Unfurnished,Garden/Park,Freehold,₹65Lac,Karan Palms,Ready to Move,,Resale
10,2 BHK Apartmentfor Sale inPushkar DeepWarje,2,2,1 Covered,765 sqft,East,5 out of 11 floors,Furnished,"Garden/Park, Main Road",Co-operative Society,₹74Lac,Pushkar Deep,Ready to Move,,Resale
11,2 BHK Apartmentfor Sale inWarje,1,1,1 Open,545 sqft,East,4 out of 12 floors,Unfurnished,"Garden/Park, Main Road",Freehold,₹45Lac,,Ready to Move,,New Property
12,2 BHK Apartmentfor Sale inKaran GreenWarje,1,2,,875 sqft,West,6 out of 6 floors,Unfurnished,Garden/Park,Freehold,₹65Lac,Karan Green,Ready to Move,,Resale
13,2 BHK Apartmentfor Sale inWarje,1,2,,850 sqft,East,5 out of 6 floors,Furnished,Garden/Park,Freehold,₹62Lac,,Ready to Move,,Resale
14,2 BHK Apartmentfor Sale inProject Atul NagarWarje,1,2,,,East,5 out of 9 floors,Unfurnished,Main Road,Freehold,₹65Lac,Project Atul Nagar,Ready to Move,810 sqft,Resale
15,2 BHK Apartmentfor Sale inWarje,1,2,1 Covered,800 sqft,West,2 out of 4 floors,Semi-Furnished,"Garden/Park, Main Road",Freehold,₹67Lac,,Ready to Move,,Resale
16,1 BHK Builder Floorfor Sale inWarje,1,1,1 Covered,476 sqft,East,2 out of 3 floors,Unfurnished,Garden/Park,Freehold,₹39Lac,,Ready to Move,,Resale
17,2 BHK Housefor Sale inWarje,1,2,1 Open,,East,2 out of 2 floors,Unfurnished,Garden/Park,Freehold,₹85Lac,,Ready to Move,750 sqft,New Property
18,3 BHK Apartmentfor Sale inWarje,2,3,1 Covered,1350 sqft,West,3 out of 5 floors,Unfurnished,,,₹97Lac,,Ready to Move,,Resale
19,2 BHK Apartmentfor Sale inGiridhar Nagar Warje,1,2,,,West,2 out of 6 floors,Semi-Furnished,Main Road,Co-operative Society,₹64Lac,,Ready to Move,840 sqft,Resale
20,1 BHK Apartmentfor Sale inWarje,1,1,1 Covered,540 sqft,South -West,4 out of 9 floors,Furnished,"Garden/Park, Main Road",Co-operative Society,₹50Lac,,Ready to Move,,Resale
21,2 BHK Apartmentfor Sale inWarje,1,2,,750 sqft,North,4 out of 4 floors,Unfurnished,Main Road,Freehold,₹52Lac,,Ready to Move,,Resale
22,2 BHK Apartmentfor Sale inWarje,,2,1 Open,750 sqft,South - East,1 out of 4 floors,Semi-Furnished,Main Road,Freehold,₹52Lac,,Ready to Move,,Resale
23,2 BHK Apartmentfor Sale inAtul Nagar Phase 1 Warje,2,2,,1070 sqft,East,3 out of 3 floors,Furnished,Main Road,Freehold,₹65Lac,,Ready to Move,,Resale
24,1 BHK Builder Floorfor Sale inVitthal Nagar-Warje Warje,1,1,,,East,2 out of 4 floors,Unfurnished,,Freehold,₹23Lac,,Ready to Move,520 sqft,Resale
25,1 BHK Apartmentfor Sale inWarje,,1,,500 sqft,West,3 out of 3 floors,Unfurnished,"Garden/Park, Main Road",Co-operative Society,₹35Lac,,Ready to Move,,Resale
26,2 BHK Apartmentfor Sale inWarje,2,2,1 Covered,1100 sqft,,1 out of 3 floors,Unfurnished,,,₹61Lac,,Ready to Move,,Resale
27,1 BHK Apartmentfor Sale inNaadbramha SocietyWarje,1,1,,485 sqft,East,6 out of 6 floors,Unfurnished,Garden/Park,Co-operative Society,₹48Lac,Naadbramha Society,Ready to Move,,Resale
28,2 BHK Apartmentfor Sale inWarje,1,2,1 Covered,650 sqft,North,2 out of 3 floors,Furnished,,Freehold,₹49.9Lac,,Ready to Move,,New Property
29,1 BHK Apartmentfor Sale inIshannagari Phase IWarje,1,1,,490 sqft,North,1 out of 4 floors,Unfurnished,Garden/Park,Freehold,₹39Lac,Ishannagari Phase I,Ready to Move,,Resale
30,2 BHK Apartmentfor Sale inWest WindsWarje,1,2,1 Covered,724 sqft,East,5 out of 5 floors,Unfurnished,"Garden/Park, Main Road",Power Of Attorney,₹82.1Lac,West Winds,Ready to Move,,New Property
